TIME,LATITUDE N/S,LONGITUDE E/W,GYRO_X,GYRO_Y
13.33416667,37.822789S,145.039690E,0,3
13.33433333,37.822783S,145.039691E,0,3
13.3345,37.822775S,145.039693E,0,3
13.33466667,37.822764S,145.039698E,3,6
13.33483333,37.822753S,145.039698E,3,6
13.335,37.822741S,145.039699E,4,7
13.33516667,37.822726S,145.039696E,4,7
13.33533333,37.822708S,145.039698E,4,7
13.3355,37.822699S,145.039701E,0,3
13.33566667,37.822689S,145.039701E,0,3
13.33583333,37.822673S,145.039698E,0,3
13.336,37.822656S,145.039696E,4,7
13.33616667,37.822643S,145.039695E,3,6
13.33633333,37.822626S,145.039691E,4,7
13.3365,37.822608S,145.039686E,4,7
13.33666667,37.822593S,145.039690E,4,7
13.33683333,37.822581S,145.039688E,3,6
13.337,37.822571S,145.039683E,4,7
13.33716667,37.822563S,145.039680E,3,6
13.33733333,37.822556S,145.039688E,0,3
13.3375,37.822548S,145.039684E,4,7
13.33766667,37.822543S,145.039683E,4,7
13.33783333,37.822531S,145.039680E,3,6
13.338,37.822523S,145.039674E,0,3
13.33816667,37.822514S,145.039671E,0,3
13.33833333,37.822505S,145.039666E,0,3
13.3385,37.822488S,145.039665E,3,6
13.33866667,37.822348S,145.039493E,0,3
13.33883333,37.822349S,145.039753E,0,3
13.339,37.822351S,145.039758E,4,7
13.33916667,37.822363S,145.039851E,4,7
13.33933333,37.822391S,145.039971E,4,7
13.3395,37.822403S,145.039991E,4,7
13.33966667,37.822401S,145.039979E,4,7
13.33983333,37.822406S,145.039971E,3,6
13.34,37.822411S,145.039965E,3,6
13.34016667,37.822413S,145.039959E,0,3
13.34033333,37.822409S,145.039958E,0,3
13.3405,37.822398S,145.039954E,3,6
13.34066667,37.822383S,145.039959E,3,6
13.34083333,37.822373S,145.039954E,3,6
13.341,37.822361S,145.039948E,0,3
13.34116667,37.822349S,145.039940E,0,3
13.34133333,37.822339S,145.039935E,3,6
13.3415,37.822339S,145.039924E,3,6
13.34166667,37.822331S,145.039921E,3,6
13.34183333,37.822330S,145.039916E,3,6
13.342,37.822319S,145.039910E,3,6
13.34216667,37.822306S,145.039903E,3,6
13.34233333,37.822289S,145.039898E,4,7
13.3425,37.822276S,145.039893E,4,7
13.34266667,37.822268S,145.039891E,4,7
13.34283333,37.822258S,145.039893E,3,6
13.343,37.822249S,145.039891E,3,6
13.34316667,37.822241S,145.039891E,3,6
13.35,37.822233S,145.039888E,4,7
13.35016667,37.822228S,145.039891E,0,3
13.35033333,37.822225S,145.039891E,0,3
13.3505,37.822216S,145.039891E,0,3
13.35066667,37.822213S,145.039891E,0,3
13.35083333,37.822206S,145.039891E,0,3
13.35133333,37.822183S,145.039890E,3,6
13.3515,37.822174S,145.039891E,3,6
13.35166667,37.822166S,145.039895E,0,3
13.35183333,37.822156S,145.039896E,3,6
13.352,37.822148S,145.039898E,3,6
13.35216667,37.822141S,145.039900E,3,6
13.35233333,37.822138S,145.039904E,0,3
13.3525,37.822128S,145.039906E,0,3
13.35266667,37.822118S,145.039910E,0,3
13.35283333,37.822108S,145.039916E,0,3
13.353,37.822101S,145.039920E,0,3
13.35316667,37.822100S,145.039928E,0,3
13.35333333,37.822093S,145.039933E,0,3
13.3535,37.822079S,145.039938E,0,3
13.35366667,37.822061S,145.039945E,0,3
13.35383333,37.822046S,145.039953E,0,3
13.354,37.822036S,145.039954E,0,3
13.35416667,37.822028S,145.039954E,3,6
13.35433333,37.822020S,145.039953E,3,6
13.3545,37.822010S,145.039954E,3,6
13.35466667,37.821999S,145.039956E,3,6
13.35483333,37.821993S,145.039951E,0,3
13.355,37.821984S,145.039948E,0,3
13.35516667,37.821978S,145.039950E,0,3
13.35533333,37.821973S,145.039948E,0,3
13.3555,37.821966S,145.039953E,0,3
13.35566667,37.821963S,145.039951E,0,3
13.35583333,37.821956S,145.039951E,0,3
13.356,37.821951S,145.039951E,0,3
13.35616667,37.821956S,145.039945E,0,3
13.35633333,37.821951S,145.039946E,0,3
13.3565,37.821943S,145.039950E,0,3
13.35666667,37.821938S,145.039950E,0,3
13.35683333,37.821933S,145.039945E,0,3
13.357,37.821913S,145.039951E,0,3
13.35716667,37.821889S,145.039945E,3,6
13.35733333,37.821873S,145.039935E,3,6
13.3575,37.821861S,145.039935E,4,7
13.35766667,37.821856S,145.039935E,3,6
13.35783333,37.821843S,145.039938E,3,6
13.358,37.821823S,145.039940E,3,6
13.35816667,37.821806S,145.039938E,0,3
13.35833333,37.821799S,145.039928E,0,3
13.3585,37.821791S,145.039914E,3,6
13.35866667,37.821778S,145.039904E,0,3
13.35883333,37.821761S,145.039908E,0,3
13.359,37.821750S,145.039903E,0,3
13.35916667,37.821734S,145.039893E,4,7
13.35933333,37.821708S,145.039890E,3,6
13.3595,37.821676S,145.039886E,0,3
13.35966667,37.821656S,145.039883E,0,3
13.35983333,37.821638S,145.039871E,0,3
13.36666667,37.821624S,145.039865E,4,7
13.36683333,37.821606S,145.039851E,3,6
13.367,37.821586S,145.039841E,0,3
13.36716667,37.821565S,145.039850E,4,7
13.36733333,37.821538S,145.039875E,4,7
13.3675,37.821520S,145.039875E,4,7
13.36766667,37.821495S,145.039869E,0,3
13.36783333,37.821486S,145.039871E,0,3
13.368,37.821480S,145.039876E,0,3
13.36816667,37.821469S,145.039881E,4,7
13.36833333,37.821459S,145.039881E,4,7
13.3685,37.821450S,145.039883E,4,7
13.36866667,37.821440S,145.039885E,4,7
13.36883333,37.821429S,145.039888E,5,8
13.369,37.821418S,145.039890E,4,7
13.36916667,37.821414S,145.039888E,4,7
13.36933333,37.821410S,145.039890E,3,6
13.3695,37.821401S,145.039888E,4,7
13.36966667,37.821391S,145.039888E,4,7
13.36983333,37.821395S,145.039883E,4,7
13.37,37.821391S,145.039876E,4,7
13.37016667,37.821381S,145.039873E,4,7
13.37033333,37.821371S,145.039869E,4,7
13.3705,37.821369S,145.039863E,4,7
13.37066667,37.821360S,145.039868E,4,7
13.37083333,37.821351S,145.039871E,0,3
13.371,37.821353S,145.039863E,4,7
13.37116667,37.821343S,145.039863E,3,6
13.37133333,37.821329S,145.039866E,3,6
13.3715,37.821318S,145.039876E,4,7
13.37166667,37.821308S,145.039893E,0,3
13.37183333,37.821296S,145.039900E,3,6
13.372,37.821288S,145.039903E,3,6
13.37216667,37.821284S,145.039904E,0,3
13.37233333,37.821276S,145.039920E,0,3
13.3725,37.821270S,145.039924E,0,3
13.37266667,37.821268S,145.039950E,0,3
13.37283333,37.821266S,145.039978E,0,3
13.373,37.821263S,145.039996E,0,3
13.37316667,37.821264S,145.040011E,0,3
13.37366667,37.821273S,145.040016E,0,3
13.37383333,37.821281S,145.040008E,0,3
13.374,37.821279S,145.039998E,0,3
13.37416667,37.821278S,145.039988E,0,3
13.37433333,37.821278S,145.039979E,0,3
13.3745,37.821276S,145.039965E,0,3
13.37466667,37.821273S,145.039953E,0,3
13.37483333,37.821273S,145.039940E,0,3
13.375,37.821270S,145.039923E,0,3
13.37516667,37.821273S,145.039900E,3,6
13.37533333,37.821278S,145.039873E,3,6
13.3755,37.821276S,145.039848E,3,6
13.37566667,37.821260S,145.039831E,0,3
13.37583333,37.821260S,145.039810E,0,3
13.376,37.821246S,145.039788E,0,3
13.37616667,37.821238S,145.039768E,0,3
13.37633333,37.821228S,145.039750E,0,3
13.3765,37.821215S,145.039729E,0,3
13.38333333,37.821208S,145.039713E,0,3
13.3835,37.821199S,145.039699E,0,3
13.38366667,37.821201S,145.039688E,0,3
13.38383333,37.821199S,145.039671E,0,3
13.384,37.821203S,145.039660E,0,3
13.38416667,37.821203S,145.039649E,0,3
13.38433333,37.821201S,145.039636E,0,3
13.3845,37.821199S,145.039626E,0,3
13.38466667,37.821194S,145.039623E,0,3
13.38483333,37.821193S,145.039618E,0,3
13.385,37.821191S,145.039611E,0,3
13.38516667,37.821188S,145.039600E,0,3
13.38533333,37.821185S,145.039600E,0,3
13.3855,37.821188S,145.039591E,0,3
13.38566667,37.821191S,145.039584E,0,3
13.38583333,37.821191S,145.039578E,0,3
13.386,37.821193S,145.039569E,0,3
13.38616667,37.821194S,145.039561E,0,3
13.38633333,37.821191S,145.039555E,0,3
13.3865,37.821193S,145.039546E,0,3
13.38666667,37.821201S,145.039545E,0,3
13.38683333,37.821201S,145.039538E,0,3
13.387,37.821198S,145.039526E,0,3
13.38716667,37.821193S,145.039518E,0,3
13.38733333,37.821188S,145.039511E,0,3
13.3875,37.821174S,145.039520E,0,3
13.38766667,37.821170S,145.039521E,0,3
13.38783333,37.821168S,145.039514E,0,3
13.388,37.821164S,145.039506E,0,3
13.38816667,37.821158S,145.039496E,0,3
13.38833333,37.821156S,145.039485E,0,3
13.3885,37.821153S,145.039476E,0,3
13.38866667,37.821153S,145.039468E,0,3
13.38883333,37.821151S,145.039460E,0,3
13.389,37.821151S,145.039448E,0,3
13.38916667,37.821151S,145.039441E,0,3
13.38933333,37.821154S,145.039428E,0,3
13.3895,37.821156S,145.039411E,0,3
13.38966667,37.821156S,145.039405E,0,3
13.38983333,37.821156S,145.039396E,0,3
13.39,37.821156S,145.039388E,0,3
13.39016667,37.821156S,145.039380E,0,3
13.39033333,37.821156S,145.039371E,0,3
13.3905,37.821154S,145.039364E,0,3
13.39066667,37.821153S,145.039356E,0,3
13.39083333,37.821146S,145.039345E,0,3
13.391,37.821144S,145.039336E,0,3
13.39116667,37.821143S,145.039328E,0,3
13.39133333,37.821138S,145.039318E,0,3
13.3915,37.821136S,145.039308E,0,3
13.39166667,37.821140S,145.039288E,0,3
13.39183333,37.821144S,145.039273E,0,3
13.392,37.821151S,145.039251E,0,3
13.39216667,37.821154S,145.039230E,0,3
13.39233333,37.821154S,145.039216E,0,3
13.3925,37.821158S,145.039203E,0,3
13.39283333,37.821148S,145.039175E,0,3
13.393,37.821151S,145.039178E,0,3
13.39316667,37.821153S,145.039168E,0,3
13.4,37.821159S,145.039165E,0,3
13.40016667,37.821164S,145.039163E,0,3
13.40033333,37.821166S,145.039163E,0,3
13.4005,37.821170S,145.039161E,0,3
13.40066667,37.821174S,145.039158E,0,3
13.40083333,37.821178S,145.039155E,0,3
13.401,37.821183S,145.039151E,0,3
13.40116667,37.821189S,145.039148E,0,3
13.40133333,37.821193S,145.039146E,0,3
13.4015,37.821201S,145.039144E,0,3
13.40166667,37.821203S,145.039141E,0,3
13.40183333,37.821206S,145.039138E,0,3
13.402,37.821208S,145.039134E,0,3
13.40216667,37.821209S,145.039131E,0,3
13.40233333,37.821209S,145.039125E,0,3
13.4025,37.821213S,145.039121E,0,3
13.40266667,37.821216S,145.039116E,0,3
13.40283333,37.821216S,145.039108E,0,3
13.403,37.821221S,145.039100E,0,3
13.40316667,37.821225S,145.039096E,0,3
13.40333333,37.821228S,145.039089E,0,3
13.4035,37.821231S,145.039085E,0,3
13.40366667,37.821233S,145.039078E,0,3
13.40383333,37.821233S,145.039068E,0,3
13.404,37.821234S,145.039061E,0,3
13.40416667,37.821236S,145.039060E,0,3
13.40433333,37.821238S,145.039058E,0,3
13.4045,37.821238S,145.039053E,0,3
13.40466667,37.821239S,145.039046E,0,3
13.40483333,37.821236S,145.039033E,0,3
13.405,37.821238S,145.039023E,0,3
13.40516667,37.821239S,145.039015E,0,3
13.40533333,37.821246S,145.039013E,0,3
13.4055,37.821263S,145.039038E,0,3
13.40566667,37.821273S,145.039049E,0,3
13.40583333,37.821281S,145.039061E,0,3
13.406,37.821291S,145.039071E,0,3
13.40616667,37.821303S,145.039091E,0,3
13.40633333,37.821318S,145.039108E,0,3
13.4065,37.821329S,145.039121E,0,3
13.40666667,37.821336S,145.039128E,0,3
13.40683333,37.821345S,145.039136E,0,3
13.407,37.821353S,145.039141E,0,3
13.40716667,37.821361S,145.039148E,0,3
13.40733333,37.821366S,145.039150E,0,3
13.4075,37.821368S,145.039151E,0,3
13.40766667,37.821374S,145.039150E,0,3
13.40783333,37.821379S,145.039150E,0,3
13.408,37.821384S,145.039146E,0,3
13.40816667,37.821395S,145.039146E,0,3
13.40833333,37.821408S,145.039144E,0,3
13.4085,37.821418S,145.039144E,0,3
13.40866667,37.821424S,145.039144E,0,3
13.40883333,37.821431S,145.039141E,0,3
13.409,37.821438S,145.039138E,0,3
13.40916667,37.821446S,145.039134E,0,3
13.40933333,37.821453S,145.039133E,0,3
13.4095,37.821453S,145.039126E,0,3
13.40966667,37.821455S,145.039123E,0,3
13.41666667,37.821458S,145.039108E,0,3
13.41683333,37.821458S,145.039101E,0,3
13.417,37.821458S,145.039100E,0,3
13.41716667,37.821458S,145.039101E,0,3
13.41733333,37.821464S,145.039096E,0,3
13.4175,37.821469S,145.039096E,0,3
13.41766667,37.821473S,145.039096E,0,3
13.41783333,37.821478S,145.039098E,0,3
13.418,37.821481S,145.039095E,0,3
13.41816667,37.821486S,145.039091E,0,3
13.41833333,37.821491S,145.039089E,0,3
13.4185,37.821498S,145.039086E,0,3
13.41866667,37.821501S,145.039083E,0,3
13.41883333,37.821506S,145.039081E,0,3
13.419,37.821511S,145.039081E,0,3
13.41916667,37.821518S,145.039083E,0,3
13.41933333,37.821521S,145.039081E,0,3
13.4195,37.821523S,145.039078E,0,3
13.41966667,37.821521S,145.039073E,0,3
13.41983333,37.821525S,145.039070E,0,3
13.42,37.821538S,145.039075E,0,3
13.42016667,37.821548S,145.039078E,0,3
13.42033333,37.821558S,145.039081E,0,3
13.4205,37.821566S,145.039086E,0,3
13.42066667,37.821578S,145.039089E,0,3
13.42083333,37.821589S,145.039089E,0,3
13.421,37.821599S,145.039089E,0,3
13.42116667,37.821610S,145.039089E,0,3
13.42133333,37.821616S,145.039089E,0,3
13.4215,37.821626S,145.039086E,0,3
13.42166667,37.821638S,145.039081E,0,3
13.42183333,37.821646S,145.039076E,0,3
13.422,37.821653S,145.039075E,0,3
13.42216667,37.821656S,145.039071E,0,3
