TIME,LATITUDE,LONGITUDE,GYRO_X,GYRO_Y
1,-37.823486,145.034119,1,1
1,-37.82349,145.034119,1,1
1,-37.823509,145.034119,1,1
1,-37.823479,145.034119,1,1
1,-37.823444,145.034119,1,1
1,-37.823448,145.034119,1,1
1,-37.823498,145.034119,1,1
1,-37.823498,145.034119,1,1
1,-37.823509,145.034103,1,1
1,-37.823509,145.034103,1,1
1,-37.823509,145.034103,1,1
1,-37.823505,145.034103,1,1
1,-37.823498,145.034119,1,1
1,-37.823502,145.034119,1,1
1,-37.823498,145.034134,1,1
1,-37.823498,145.034134,1,1
1,-37.823498,145.034134,1,1
1,-37.823479,145.034073,1,1
1,-37.823483,145.034103,1,1
1,-37.823475,145.034119,1,1
1,-37.823479,145.034134,1,1
1,-37.823486,145.034119,1,1
1,-37.823483,145.034119,1,1
1,-37.823483,145.034119,1,1
1,-37.823486,145.034119,1,1
1,-37.823486,145.034119,1,1
1,-37.823486,145.034119,1,1
1,-37.823486,145.034119,1,1
1,-37.823483,145.034119,1,1
1,-37.823471,145.034119,1,1
1,-37.823467,145.034119,1,1
1,-37.82346,145.034119,1,1
1,-37.823456,145.034119,1,1
1,-37.823452,145.034119,1,1
1,-37.823448,145.034134,1,1
1,-37.823456,145.034134,1,1
1,-37.823452,145.034134,1,1
1,-37.823441,145.034119,1,1
1,-37.823444,145.034119,1,1
1,-37.823441,145.034119,1,1
1,-37.823441,145.034119,1,1
1,-37.823441,145.034119,1,1
1,-37.823441,145.034134,1,1
1,-37.823444,145.034134,1,1
1,-37.823444,145.034134,1,1
1,-37.823448,145.034134,1,1
1,-37.823448,145.034149,1,1
1,-37.823452,145.034149,1,1
1,-37.823452,145.034149,1,1
1,-37.823456,145.034149,1,1
1,-37.823456,145.034149,1,1
1,-37.823456,145.034164,1,1
1,-37.823456,145.034164,1,1
1,-37.82346,145.034164,1,1
1,-37.82346,145.034164,1,1
1,-37.823463,145.034164,1,1
1,-37.823463,145.034164,1,1
1,-37.823463,145.034164,1,1
1,-37.823463,145.034164,1,1
1,-37.823463,145.034164,1,1
1,-37.823463,145.034164,1,1
1,-37.82346,145.034164,1,1
1,-37.823456,145.034164,1,1
1,-37.823456,145.034164,1,1
1,-37.823456,145.034164,1,1
1,-37.823456,145.034164,1,1
1,-37.823456,145.034164,1,1
1,-37.82346,145.034164,1,1
1,-37.82346,145.034164,1,1
1,-37.82346,145.034164,1,1
1,-37.823463,145.034164,1,1
1,-37.823463,145.034164,1,1
1,-37.823467,145.034164,1,1
1,-37.823467,145.034164,1,1
1,-37.823467,145.034164,1,1
1,-37.823471,145.034164,1,1
1,-37.823467,145.034164,1,1
1,-37.823471,145.034164,1,1
1,-37.823471,145.034164,1,1
1,-37.823471,145.034164,1,1
1,-37.823475,145.034164,1,1
1,-37.823479,145.034164,1,1
1,-37.823479,145.034164,1,1
1,-37.823479,145.034164,1,1
1,-37.823479,145.034164,1,1
1,-37.823479,145.034164,1,1
1,-37.823479,145.034164,1,1
1,-37.823475,145.034164,1,1
1,-37.823475,145.034164,1,1
1,-37.823475,145.034164,1,1
1,-37.823475,145.034164,1,1
1,-37.823475,145.034164,1,1
1,-37.823475,145.034164,1,1
1,-37.823471,145.034164,1,1
1,-37.823471,145.034164,1,1
1,-37.823467,145.034164,1,1
1,-37.823467,145.034164,1,1
1,-37.823471,145.034164,1,1
1,-37.823471,145.034164,1,1
