TIME,LATITUDE,LONGITUDE,GYRO_X,GYRO_Y
1,-37.823486,145.034119,0.00404,-0.00301
1,-37.82349,145.034119,0.00404,0.02628
1,-37.823509,145.034119,0.00287,0.01473
1,-37.823479,145.034119,0.00171,-0.01455
1,-37.823444,145.034119,0.00287,0.00883
1,-37.823448,145.034119,0.00171,0.01162
1,-37.823498,145.034119,0.00287,-0.00306
1,-37.823498,145.034119,0.00869,-0.01484
1,-37.823509,145.034103,0.00287,-0.03791
1,-37.823509,145.034103,0.00753,-0.00885
1,-37.823509,145.034103,0.00171,-0.00577
1,-37.823505,145.034103,0.00171,-0.02319
1,-37.823498,145.034119,-0.00178,0.02045
1,-37.823502,145.034119,0.00287,-0.00595
1,-37.823498,145.034134,0.0052,-0.01451
1,-37.823498,145.034134,0.00287,-0.01183
1,-37.823498,145.034134,0.0052,-0.0146
1,-37.823479,145.034073,0.00753,-0.00032
1,-37.823483,145.034103,0.0052,-0.0146
1,-37.823475,145.034119,0.0052,0.0086
1,-37.823479,145.034134,0.00171,0.03809
1,-37.823486,145.034119,0.00055,0.03782
1,-37.823483,145.034119,0.00055,0.02653
1,-37.823483,145.034119,-0.00178,-0.00288
1,-37.823486,145.034119,-0.00527,0.03805
1,-37.823486,145.034119,-0.00178,0.00277
1,-37.823486,145.034119,0.00055,0.02338
1,-37.823486,145.034119,0.00985,0.03517
1,-37.823483,145.034119,0.01102,0.01738
1,-37.823471,145.034119,0.00636,0.00008
1,-37.823467,145.034119,0.00404,0.00601
1,-37.82346,145.034119,0.0052,-0.04652
1,-37.823456,145.034119,0.0052,-0.01465
1,-37.823452,145.034119,0.00753,-0.00877
1,-37.823448,145.034134,0.0052,0.00003
1,-37.823456,145.034134,0.00636,0.02071
1,-37.823452,145.034134,0.00404,0.01477
1,-37.823441,145.034119,0.00287,0.02045
1,-37.823444,145.034119,0.00287,0.02024
1,-37.823441,145.034119,0.00404,0.01757
1,-37.823441,145.034119,0.00636,0.0349
1,-37.823441,145.034119,0.00753,-0.01187
1,-37.823441,145.034134,0.00636,0.04684
1,-37.823444,145.034134,0.00055,0.03232
1,-37.823444,145.034134,-0.00062,-0.00003
1,-37.823448,145.034134,-0.00644,0.02041
