time,speed
398,0.00055
399,0.00055
400,0.000035
401,0.003455
402,0.00113
403,0.001125
404,0.002875
405,0.00171
406,0.001125
407,0.000615
408,0.000545
409,0.003455
410,0.000035
411,0.0012
412,0.00171
413,0.001195
414,0.001125
415,0.000035
416,0.000035
417,0.002875
418,0.000615
419,0.000545
420,0.00229
421,0.00055
422,0.000035
423,0.00055
424,0.00055
425,0.00229
426,0.00171
427,0.00062
428,0.00113
429,0.00113
430,0.00287
431,0.000545
432,0.00171
433,0.0052
434,0.000035
435,0.00229
436,0.00171
437,0.00236
438,0.000545
439,0.000545
440,0.000545
441,0.00113
442,0.00055
443,0.00178
444,0.001125
445,0.000615
446,0.000545
447,0.00055
448,0.00055
449,0.000545
450,0.000545
451,0.00062
452,0.00113
453,0.002875
454,0.00287
455,0.00178
456,0.00229
457,0.00404
458,0.00113
459,0.00171
460,0.00055
461,0.000615
462,0.00236
463,0.00171
464,0.000545
465,0.00171
466,0.000615
467,0.000615
468,0.00062
469,0.0012
470,0.002875
471,0.00113
472,0.00055
473,0.000035
474,0.000035
475,0.000035
476,0.00171
477,0.00113
478,0.001125
479,0.001195
480,0.00171
481,0.00113
482,0.000035
483,0.00171
484,0.000035
485,0.00055
486,0.001195
487,0.00171
488,0.000545
489,0.00229
490,0.000035
491,0.00113
492,0.000035
493,0.00062
494,0.003455
495,0.00229
496,0.00113
497,0.00113
498,0.00113
499,0.00055
500,0.00171
501,0.00055
502,0.000035
503,0.00113
504,0.00113
505,0.00171
506,0.000545
507,0.00229
508,0.000035
509,0.00113
510,0.00055
511,0.002875
512,0.00113
513,0.000545
514,0.00113
515,0.000545
516,0.00113
517,0.000035
518,0.001125
519,0.00171
520,0.00171
521,0.00171
522,0.00055
523,0.00113
524,0.002875
525,0.002295
526,0.00055
527,0.00113
528,0.00113
529,0.00171
530,0.00171
531,0.00171
532,0.002295
533,0.00113
534,0.00113
535,0.002295
536,0.00055
537,0.000035
538,0.000035
539,0.001125
540,0.00113
541,0.00113
542,0.00062
543,0.000615
544,0.00171
545,0.000545
546,0.000035
547,0.00113
548,0.002295
549,0.00404
550,0.00171
551,0.000035
552,0.00113
553,0.00229
554,0.00113
555,0.000545
556,0.00171
557,0.00055
558,0.00171
559,0.00055
560,0.000615
561,0.00055
562,0.000545
563,0.00287
564,0.00113
565,0.000545
566,0.000545
567,0.000035
568,0.00171
569,0.000545
570,0.00062
571,0.00113
572,0.002295
573,0.002875
574,0.00287
575,0.00062
576,0.00113
577,0.00229
578,0.00055
579,0.0012
580,0.0012
581,0.00055
582,0.000545
583,0.000035
584,0.00236
585,0.000035
586,0.000035
587,0.000545
588,0.000035
589,0.00353
590,0.000035
591,0.002365
592,0.0012
593,0.00411
594,0.01051
595,0.022725
596,0.03145
597,0.04367
598,0.054725
599,0.06403
600,0.07741
601,0.08672
602,0.103005
603,0.11697
604,0.12453
605,0.129185
606,0.13675
607,0.14897
608,0.162345
609,0.167585
610,0.17689
611,0.181545
612,0.19085
613,0.2054
614,0.214705
615,0.22867
616,0.240885
617,0.256595
618,0.27579
619,0.30604
620,0.32524
621,0.349675
622,0.37411
623,0.39563
624,0.42007
625,0.438105
626,0.463115
627,0.485225
628,0.499765
629,0.51431
630,0.529435
631,0.54864
632,0.56725
633,0.58005
634,0.598085
635,0.607975
636,0.61437
637,0.62892
638,0.63939
639,0.656845
640,0.668475
641,0.683605
642,0.701635
643,0.717345
644,0.727235
645,0.740035
646,0.75516
647,0.770285
648,0.78192
649,0.79181
650,0.800535
651,0.812175
652,0.81508
653,0.813915
654,0.81217
655,0.808685
656,0.809845
657,0.817405
658,0.825555
659,0.836025
660,0.83544
661,0.83486
662,0.838935
663,0.83719
664,0.824385
665,0.812755
666,0.800535
667,0.77494
668,0.75458
669,0.762145
670,0.760975
671,0.752835
672,0.757485
673,0.76854
674,0.75807
675,0.75516
676,0.74585
